current_energy,energy_full,energy_full_design,energy_rate,uptime,cpu_usage,memory_usage,query_moment,benchmark_running
90900,136296,205200,7.3570004,2645084,9.913964,43.7789,2025-04-15 00:14:59,false
64692,136296,205200,8.168,2682670,15.915178,50.975513,2025-04-15 10:41:25,false
